n,doc_id,page,date,url
30,frjb19750917-01.1.6,"Page 6","17 September 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750917-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
31,frjb19751001-01.1.12,"Page 12","1 October 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19751001-01.1.12&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
32,frjb19751119-01.1.13,"Page 13","19 November 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19751119-01.1.13&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
33,frjb19751210-01.1.9,"Page 9","10 December 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19751210-01.1.9&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
34,frjb19760114-01.1.7,"Page 7","14 January 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760114-01.1.7&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
35,frjb19760204-01.1.11,"Page 11","4 February 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760204-01.1.11&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
36,frjb19760225-01.1.6,"Page 6","25 February 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760225-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
37,frjb19760310-01.1.6,"Page 6","10 March 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760310-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
38,frjb19760407-01.1.6,"Page 6","7 April 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760407-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
39,frjb19760428-01.1.6,"Page 6","28 April 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760428-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
40,frjb19760512-01.1.7,"Page 7","12 May 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760512-01.1.7&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
41,frjb19760616-01.1.16,"Page 16","16 June 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760616-01.1.16&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
42,frjb19760714-01.1.13,"Page 13","14 July 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760714-01.1.13&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
43,frjb19760901-01.1.2,"Page 2","1 September 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760901-01.1.2&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
44,frjb19760915-01.1.6,"Page 6","15 September 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760915-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
45,frjb19761110-01.1.13,"Page 13","10 November 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19761110-01.1.13&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
46,frjb19770209-01.1.12,"Page 12","9 February 1977",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19770209-01.1.12&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
47,frjb19770309-01.1.2,"Page 2","9 March 1977",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19770309-01.1.2&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
48,frjb19770601-01.1.2,"Page 2","1 June 1977",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19770601-01.1.2&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
49,frjb19770727-01.1.2,"Page 2","27 July 1977",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19770727-01.1.2&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
50,frjb19800806-01.1.6,"Page 6","6 August 1980",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19800806-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
